sort_num|address|city|state|zip|borough_detail|address_remark|date_t|deliver_type|remark|iron_box|plastic_box|selling_box|paper_shelf|mon|tue|wed|thu|fri|sat|sun|latitude|longitude|created_at|
|5112 7th Ave|Brooklyn|NY|11220|Brooklyn|52 St  & 7 Ave，在布碌仑技术学院门口||Newspaper box|05\30\2014 加的报箱||1|||25|25|25|25|60|60|0|40.641745|-74.007038|2014-08-17 21:49:03 -0400|
|5605 7th Ave|Brooklyn|NY|11220|Brooklyn|58 St & 7 Ave，在康宁西药房门口||Newspaper box|05\30\2014  加的报箱||1|||25|25|25|25|50|50|0|40.63877|-74.009359|2014-08-17 21:49:05 -0400|
|5921 7th Ave|Brooklyn|NY|11220|Brooklyn|60th St & 7th Ave 在 7Ave上,联发自助洗衣店边||Newspaper box|||1|||50|50|50|50|50|60|0|40.636802|-74.01140699999999|2014-08-17 21:49:05 -0400|
|823 65th St|Brooklyn|NY|11220|Brooklyn|Atlantic Adault Day Care Center||Building||||||10|10|10|10|15|0|0|40.63239799999999|-74.011588|2014-08-17 21:49:05 -0400|
|6409 8th Ave|Brooklyn|NY|11220|Brooklyn|8 Ave &  65h St,金煌海鲜大酒楼一侧||Newspaper box|新粉刷的01／08／2014|1||||50|50|50|50|80|65|0|40.632923|-74.011871|2014-08-17 21:49:05 -0400|
|6301 8th Ave|Brooklyn|NY|11220|Brooklyn|8 Ave & 63 St ,飞龙超市||Newspaper box|||1|||50|50|50|50|80|65|0|40.633347|-74.011352|2014-08-17 21:49:06 -0400|
|6152 8th Ave|Brooklyn|NY|11220|Brooklyn|8th Ave, Between 62nd St, 地铁站一侧的桥头上||Newspaper box|||1|||50|50|50|50|80|65|0|40.63447410000001|-74.0106488|2014-08-17 21:49:06 -0400|
|6102 8th Ave|Brooklyn|NY|11220|Brooklyn|HSBC汇丰银行门前，8 Ave & 61st St||Newspaper box|新加香港超市门前|1||||90|90|90|90|90|90|0|40.63501600000001|-74.010682|2014-08-17 21:49:06 -0400|
|6102 8th Ave|Brooklyn|NY|11220|Brooklyn|HSBC汇丰银行门前，8 Ave & 61st St||Coin box||||1||10|10|10|10|10|10|0|40.63501600000001|-74.010682|2014-08-17 21:49:06 -0400|
|6011 8th Ave|Brooklyn|NY|11221|Brooklyn|8 Ave & 61st St  , 香港超市门口手發報||Hand delivery|發報人員發報|||||0|0|0|0|0|800|0|40.635137|-74.0099038|2014-08-17 21:49:07 -0400|
|6011 8th Ave|Brooklyn|NY|11220|Brooklyn|8 Ave & 61st St  ,靠近超市香港超市停车场||Newspaper box|||1|||50|50|50|50|80|60|0|40.635137|-74.0099038|2014-08-17 21:49:07 -0400|
|5901 8th Ave|Brooklyn|NY|11220|Brooklyn|8 Ave & 59th St||Newspaper box|8/8/2014  新加报箱||1|||50|50|50|50|80|65|0|40.635849|-74.008811|2014-08-17 21:49:07 -0400|
